,EventTemplate,Occurrences
0,Please provide the output of the template of the log message.,56
1,Changing view acls to: {placeholders},2
2,"Changing modify acls to: yarn,curi",2
3,Please provide the output of the log message template.,2
4,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
5,"
Slf4jLogger started
",1
6,Remoting started; listening on addresses ,1
7,Please provide the abstracted template.,303
8,Please provide the output of the template delimited by backticks.,1
9,17.7 GB,1
10,Connecting to driver: spark://{placeholders},1
11,Successfully registered with driver,1
12,Server created on 40984,1
13,Note: The placeholders are case-sensitive.,1
14,Slf4jLogger started,24
15,Got assigned task ,134
16,Started reading broadcast variable ,28
17,"Block broadcast_9_piece0 stored as bytes in memory (estimated size {size} KB, free {free} KB)",1
18,Reading broadcast variable {placeholders},35
19,free 14.0 KB),1
20,Partition rdd_2_1 not found; computing it,1
21,Partition rdd_2_3 not found; computing it,1
22,Partition rdd_2_0 not found; computing it,1
23,Partition rdd_2_2 not found; computing it,1
24,Partition rdd_2_4 not found; computing it,1
25,Input split: hdfs://10.10.34.11:9000/pjhe/logs/,32
26,Input split: {hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292},2
27,"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)",1
28,free 317.0 KB),1
29,Please provide the output for this log message.,4
30,Please provide the corresponding template.,163
31,free 317.5 KB),1
32,free 318.5 KB,1
33,What is the template of the log message?,1
34,free 319.0 KB,1
35,Started reading broadcast variable 2,1
36,free 319.4 KB,1
37,Times: total = 1072; boot = 856; init = 210; finish = 6,1
38,Times: total = 1114; boot = 885; init = 223; finish = 6,1
39,Times: total = 1074; boot = 869; init = 199; finish = 6,1
40,Times: total = 1078; boot = 851; init = 219; finish = 8,1
41,Times: total = 1077; boot = 865; init = 206; finish = 6,1
42,"Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 320.3 KB)",1
43,"Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)",1
44,"Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)",1
45,); free 323.0 KB,1
46,); free 323.8 KB,1
47,Times: total = 38; boot = 11; init = 27; finish = 0,1
48,Times: total = 42; boot = 12; init = 30; finish = 0,1
49,Times: total = 41; boot = 15; init = 26; finish = 0,1
50,Times: total = 40; boot = 7; init = 33; finish = 0,1
51,Times: total = 42; boot = 13; init = 28; finish = 1,4
52,42,1
53,Started reading broadcast variable 10,1
54,78,1
55,"Block broadcast_10_piece0 stored as bytes in memory (estimated size 5.8 KB, free 329.6 KB)",1
56,Reading broadcast variable {template},2
57,free 339.2 KB),1
58,Slf4jLogger started Found block rdd_2_0 locally,17
59,Slf4jLogger started Found block rdd_2_3 locally,17
60,Slf4jLogger started Found block rdd_2_4 locally,17
61,Slf4jLogger started Found block rdd_2_2 locally,17
62,Slf4jLogger started Found block rdd_2_1 locally,17
63,Times: total = 42; boot = -4131; init = 4172; finish = 1,1
64,Times: total = 41; boot = -4122; init = 4162; finish = 1,1
65,Times: total = 42; boot = -4121; init = 4162; finish = 1,1
66,Times: total = 42; boot = -4138; init = 4179; finish = 1,1
67,Times: total = 42; boot = -4134; init = 4175; finish = 1,1
68,118,1
69,Started reading broadcast variable 11,1
70,free 353.9 KB),1
71,Times: total = 39; boot = -147; init = 186; finish = 0,2
72,Times: total = 41; boot = -139; init = 179; finish = 1,1
73,Times: total = 38; boot = -156; init = 194; finish = 0,1
74,Times: total = 39; boot = -159; init = 198; finish = 0,1
75,"Block broadcast_12_piece0 stored as bytes in memory (estimated size 5.6 KB, free 359.4 KB)",1
76,free 369.3 KB),1
77,Partition rdd_6_4 not found; computing it,1
78,Partition rdd_6_3 not found; computing it,1
79,Partition rdd_6_0 not found; computing it,1
80,Partition rdd_6_1 not found; computing it,1
81,Partition rdd_6_2 not found; computing it,1
82,Times: total = 38; boot = -170; init = 208; finish = 0,1
83,Times: total = 41; boot = -171; init = 212; finish = 0,1
84,Times: total = 41; boot = -160; init = 200; finish = 1,1
85,Times: total = 38; boot = -172; init = 210; finish = 0,1
86,Times: total = 40; boot = -173; init = 213; finish = 0,1
87,); free 369.5 KB,1
88,free 369.9 KB),1
89,); free 370.2 KB,1
90,); free 370.4 KB,1
91,); free 370.7 KB,1
92,Times: total = 38; boot = 14; init = 24; finish = 0,2
93,Times: total = 38; boot = 12; init = 26; finish = 0,2
94,Times: total = 41; boot = 19; init = 22; finish = 0,3
95,Times: total = 41; boot = 16; init = 25; finish = 0,3
96,Times: total = 40; boot = 5; init = 35; finish = 0,1
97,). 2667 bytes result sent to driver,1
98,171,1
99,185,1
100,Started reading broadcast variable 13,1
101,"Block broadcast_13_piece0 stored as bytes in memory (estimated size 5.7 KB, free 376.4 KB)",1
102,free 386.5 KB),1
103,Slf4jLogger started Found block rdd_6_0 locally,2
104,Slf4jLogger started Found block rdd_6_4 locally,2
105,Slf4jLogger started Found block rdd_6_3 locally,2
106,Slf4jLogger started Found block rdd_6_2 locally,2
107,Slf4jLogger started Found block rdd_6_1 locally,2
108,Times: total = 39; boot = -141; init = 180; finish = 0,1
109,Times: total = 40; boot = -129; init = 169; finish = 0,1
110,Times: total = 41; boot = -134; init = 175; finish = 0,1
111,; finish = 0,11
112,Times: total = 42; boot = -125; init = 166; finish = 1,1
113,free 401.9 KB),1
114,; init = 123;,1
115,Times: total = 40; boot = -77; init = 117; finish = 0,1
116,; finish = ,1
117,Times: total = 40; boot = -78; init = 117; finish = 1,1
118,Times: total = 42; boot = -79; init = 120; finish = 1,1
119,Started reading broadcast variable 15,1
120,"Block broadcast_15_piece0 stored as bytes in memory (estimated size 5.4 KB, free 407.4 KB)",1
121,free 416.6 KB),1
122,Times: total = 39; boot = -107; init = 146; finish = 0,1
123,Times: total = 41; boot = -100; init = 141; finish = 0,1
124,Times: total = 42; boot = -99; init = 141; finish = 0,1
125,Times: total = 39; boot = -103; init = 142; finish = 0,2
126,Times: total = 42; boot = -101; init = 143; finish = 0,1
127,Started reading broadcast variable 16,1
128,"Block broadcast_16_piece0 stored as bytes in memory (estimated size 5.6 KB, free 422.1 KB)",1
129,free 432.0 KB),1
130,Partition rdd_11_0 not found; computing it,1
131,Partition rdd_11_4 not found; computing it,1
132,Partition rdd_11_3 not found; computing it,1
133,Partition rdd_11_2 not found; computing it,1
134,Partition rdd_11_1 not found; computing it,1
135,Times: total = 39; boot = -110; init = 149; finish = 0,1
136,Times: total = 39; boot = -105; init = 144; finish = 0,1
137,Times: total = 42; boot = -103; init = 144; finish = 1,1
138,Times: total = 41; boot = -107; init = 148; finish = 0,2
139,Times: total = 42; boot = -107; init = 148; finish = 1,1
140,); free 432.1 KB,1
141,); free 432.3 KB,1
142,); free 432.4 KB,1
143,); free 432.6 KB,1
144,); free 432.7 KB,1
145,Times: total = 38; boot = 17; init = 21; finish = 0,1
146,Times: total = 41; boot = 28; init = 13; finish = 0,1
147,Times: total = 38; boot = 18; init = 20; finish = 0,5
148,Times: total = 40; boot = 19; init = 21; finish = 0,3
149,Times: total = 41; boot = 17; init = 24; finish = 0,3
150,Started reading broadcast variable 17,1
151,free 448.6 KB),1
152,Slf4jLogger started Found block rdd_11_0 locally,2
153,Slf4jLogger started Found block rdd_11_4 locally,2
154,Slf4jLogger started Found block rdd_11_3 locally,2
155,Slf4jLogger started Found block rdd_11_2 locally,2
156,Slf4jLogger started Found block rdd_11_1 locally,2
157,Times: total = 39; boot = -109; init = 148; finish = 0,1
158,Times: total = 41; boot = -104; init = 144; finish = 1,1
159,Times: total = 42; boot = -107; init = 149; finish = 0,1
160,Started reading broadcast variable 18,1
161,"Block broadcast_18_piece0 stored as bytes in memory (estimated size 5.8 KB, free 454.4 KB)",1
162,free 464.0 KB),1
163,; finish = 1,6
164,Times: total = 40; boot = -75; init = 114; finish = 1,2
165,Times: total = 41; boot = -75; init = 115; finish = 1,1
166,Times: total = 42; boot = -67; init = 108; finish = 1,1
167,438,1
168,"Block broadcast_19_piece0 stored as bytes in memory (estimated size 5.4 KB, free 469.4 KB)",1
169,free 478.6 KB),1
170,; boot = -123; init = 161; finish = 0,1
171,Times: total = 41; boot = -126; init = 167; finish = 0,1
172,Times: total = 40; boot = -127; init = 167; finish = 0,1
173,Times: total = 41; boot = -115; init = 155; finish = 1,1
174,475,1
175,"Block broadcast_20_piece0 stored as bytes in memory (estimated size 5.5 KB, free 416.7 KB)",1
176,free 411.6 KB),1
177,Partition rdd_16_0 not found; computing it,1
178,Partition rdd_16_4 not found; computing it,1
179,Partition rdd_16_3 not found; computing it,1
180,Partition rdd_16_2 not found; computing it,1
181,Partition rdd_16_1 not found; computing it,1
182,Times: total = 40; boot = -95; init = 135; finish = 0,3
183,Times: total = 42; boot = -95; init = 137; finish = 0,1
184,Times: total = 42; boot = -97; init = 139; finish = 0,1
185,; init = 127;,1
186,); free 386.4 KB,1
187,); free 386.6 KB,1
188,); free 386.8 KB,1
189,); free 387.0 KB,1
190,free 387.4 KB),2
191,Times: total = 39; boot = 22; init = 17; finish = 0,1
192,Times: total = 41; boot = 20; init = 21; finish = 0,2
193,Times: total = 40; boot = 20; init = 20; finish = 0,3
194,Times: total = 40; boot = 26; init = 14; finish = 0,2
195,518,1
196,"Block broadcast_21_piece0 stored as bytes in memory (estimated size 5.7 KB, free 393.1 KB)",1
197,free 403.2 KB),1
198,Slf4jLogger started Found block rdd_16_0 locally,2
199,Slf4jLogger started Found block rdd_16_4 locally,2
200,Slf4jLogger started Found block rdd_16_3 locally,2
201,Slf4jLogger started Found block rdd_16_2 locally,2
202,Slf4jLogger started Found block rdd_16_1 locally,2
203,Times: total = 37; boot = -162; init = 199; finish = 0,1
204,Times: total = 40; boot = -157; init = 197; finish = 0,1
205,Times: total = 39; boot = -157; init = 196; finish = 0,1
206,Times: total = 38; boot = -146; init = 184; finish = 0,1
207,Times: total = 40; boot = -156; init = 196; finish = 0,1
208,528,1
209,Please provide the desired output for this log message.,135
210,542,1
211,"Block broadcast_22_piece0 stored as bytes in memory (estimated size 5.8 KB, free 409.0 KB)",1
212,free 418.6 KB),1
213,Times: total = 42; boot = -73; init = 114; finish = 1,2
214,Times: total = 41; boot = -67; init = 107; finish = 1,2
215,Times: total = 40; boot = -74; init = 113; finish = 1,1
216,576,1
217,598,1
218,Times: total = 40; boot = -93; init = 133; finish = 0,1
219,Times: total = 42; boot = -92; init = 133; finish = 1,1
220,"Block broadcast_24_piece0 stored as bytes in memory (estimated size 5.6 KB, free 393.0 KB)",1
221,free 402.8 KB),1
222,Partition rdd_21_1 not found; computing it,1
223,Partition rdd_21_4 not found; computing it,1
224,Partition rdd_21_3 not found; computing it,1
225,Partition rdd_21_2 not found; computing it,1
226,Partition rdd_21_0 not found; computing it,1
227,Times: total = 41; boot = -98; init = 139; finish = 0,1
228,Times: total = 40; boot = -99; init = 139; finish = 0,1
229,); free 403.0 KB,1
230,); free 403.2 KB,1
231,); free 403.4 KB,1
232,); free 403.5 KB,1
233,); free 403.8 KB,1
234,Times: total = 38; boot = 19; init = 19; finish = 0,2
235,Times: total = 39; boot = 20; init = 19; finish = 0,2
236,Times: total = 40; boot = 17; init = 23; finish = 0,1
237,Times: total = 42; boot = 18; init = 24; finish = 0,1
238,678,1
239,"Block broadcast_25_piece0 stored as bytes in memory (estimated size 5.7 KB, free 409.5 KB)",1
240,free 419.6 KB),1
241,Slf4jLogger started Found block rdd_21_0 locally,2
242,Slf4jLogger started Found block rdd_21_4 locally,2
243,Slf4jLogger started Found block rdd_21_3 locally,2
244,Slf4jLogger started Found block rdd_21_2 locally,2
245,Slf4jLogger started Found block rdd_21_1 locally,2
246,Times: total = 39; boot = -104; init = 143; finish = 0,1
247,Times: total = 41; boot = -104; init = 145; finish = 0,1
248,Times: total = 39; boot = -106; init = 145; finish = 0,2
249,Times: total = 43; boot = -104; init = 146; finish = 1,1
250,706,1
251,716,1
252,718,1
253,719,1
254,"Block broadcast_26_piece0 stored as bytes in memory (estimated size 5.8 KB, free 379.9 KB)",1
255,free 389.6 KB),1
256,Times: total = 42; boot = -69; init = 110; finish = 1,1
257,Times: total = 40; boot = -71; init = 110; finish = 1,1
258,Times: total = 44; boot = -72; init = 115; finish = 1,1
259,Times: total = 42; boot = -71; init = 112; finish = 1,1
260,722,1
261,736,1
262,750,1
263,758,1
264,759,1
265,"Block broadcast_27_piece0 stored as bytes in memory (estimated size 5.4 KB, free 395.0 KB)",1
266,free 404.2 KB),1
267,Times: total = 38; boot = -77; init = 115; finish = 0,1
268,Times: total = 40; boot = -76; init = 115; finish = 1,1
269,Times: total = 40; boot = -75; init = 115; finish = 0,1
270,Times: total = 42; boot = -74; init = 115; finish = 1,3
271,762,1
272,776,1
273,789,1
274,798,1
275,799,1
276,"Block broadcast_28_piece0 stored as bytes in memory (estimated size 5.6 KB, free 409.8 KB)",1
277,", free 419.6 KB)",1
278,Partition rdd_26_0 not found; computing it,1
279,Partition rdd_26_4 not found; computing it,1
280,Partition rdd_26_3 not found; computing it,1
281,Partition rdd_26_2 not found; computing it,1
282,Partition rdd_26_1 not found; computing it,1
283,Times: total = 40; boot = -79; init = 119; finish = 0,1
284,Times: total = 41; boot = -82; init = 123; finish = 0,2
285,); free 419.6 KB,3
286,Times: total = 42; boot = -66; init = 107; finish = 1,2
287,); free 419.7 KB,2
288,Times: total = 38; boot = 23; init = 15; finish = 0,3
289,Times: total = 41; boot = 23; init = 18; finish = 0,2
